operation, device, packetlength, params, execution time (musec)
,,1024,,0.2930769230769231
,Intel-i3-4130,128,,0.18470588235294116
,,256,,0.22235294117647061
,,512,,0.29764705882352943
,,1024,,0.4482352941176471
,Intel-i7-14700HX,128,,0.11418181818181818
,,256,,0.13745454545454547
,,512,,0.184
,,1024,,0.2770909090909091
,,128,,0.11418181818181818
,,256,,0.13745454545454547
,,512,,0.184
,,1024,,0.2770909090909091
processOp,Intel-Xeon-w-1350P,128,,0.28200000000000003
,,256,,0.314
,,512,,0.378
,,1024,,0.506
,Intel-i7-11850HE,128,,0.24
,,256,,0.26723404255319144
,,512,,0.32170212765957445
,,1024,,0.4306382978723404
,,128,,0.24
,,256,,0.26723404255319144
,,512,,0.32170212765957445
,,1024,,0.4306382978723404
,Intel-i7-7600U,128,,0.28923076923076924
,,256,,0.32205128205128203
,,512,,0.3876923076923077
,,1024,,0.5189743589743591
,,128,,0.28923076923076924
,,256,,0.32205128205128203
,,512,,0.3876923076923077
,,1024,,0.5189743589743591
,Intel-Xeon-w-1390P,128,,0.2169230769230769
,,256,,0.2415384615384615
,,512,,0.2907692307692308
,,1024,,0.3892307692307692
,Intel-i7-1360P,128,,0.2256
,,256,,0.2512
,,512,,0.3024
,,1024,,0.40480000000000005
,,128,,0.2256
,,256,,0.2512
,,512,,0.3024
,,1024,,0.40480000000000005
,Intel-i7-1185G7E,128,,0.25636363636363635
,,256,,0.28545454545454546
,,512,,0.34363636363636363
,,1024,,0.45999999999999996
,,128,,0.25636363636363635
,,256,,0.28545454545454546
,,512,,0.34363636363636363
,,1024,,0.45999999999999996
,Intel-i7-7700,128,,0.26857142857142857
,,256,,0.29904761904761906
,,512,,0.36
,,1024,,0.48190476190476184
,,128,,0.26857142857142857
,,256,,0.29904761904761906
,,512,,0.36
,,1024,,0.48190476190476184
,Intel-i7-6700,128,,0.28200000000000003
,,256,,0.314
,,512,,0.378
,,1024,,0.506
,,128,,0.28200000000000003
,,256,,0.314
,,512,,0.378
,,1024,,0.506
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,0.31333333333333335
,,256,,0.34888888888888886
,,512,,0.42
,,1024,,0.5622222222222222
,Intel-i7-14650HX,128,,0.2169230769230769
,,256,,0.2415384615384615
,,512,,0.2907692307692308
,,1024,,0.3892307692307692
,,128,,0.2169230769230769
,,256,,0.2415384615384615
,,512,,0.2907692307692308
,,1024,,0.3892307692307692
,Intel-i3-4130,128,,0.33176470588235296
,,256,,0.36941176470588233
,,512,,0.44470588235294123
,,1024,,0.5952941176470589
,Intel-i7-14700HX,128,,0.2050909090909091
,,256,,0.22836363636363635
,,512,,0.27490909090909094
,,1024,,0.368
,,128,,0.2050909090909091
,,256,,0.22836363636363635
,,512,,0.27490909090909094
,,1024,,0.368
