operation, device, packetlength, params, execution time (musec)
,,256,,23.87047619047619
,,512,,23.931428571428572
,,1024,,24.05333333333333
,,128,,23.84
,,256,,23.87047619047619
,,512,,23.931428571428572
,,1024,,24.05333333333333
,Intel-i7-6700,128,,25.032
,,256,,25.064000000000004
,,512,,25.128
,,1024,,25.256
,,128,,25.032
,,256,,25.064000000000004
,,512,,25.128
,,1024,,25.256
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,27.813333333333333
,,256,,27.84888888888889
,,512,,27.92
,,1024,,28.06222222222222
,Intel-i7-14650HX,128,,19.255384615384614
,,256,,19.28
,,512,,19.32923076923077
,,1024,,19.427692307692308
,,128,,19.255384615384614
,,256,,19.28
,,512,,19.32923076923077
,,1024,,19.427692307692308
,Intel-i3-4130,128,,29.449411764705886
,,256,,29.487058823529416
,,512,,29.562352941176474
,,1024,,29.71294117647059
,Intel-i7-14700HX,128,,18.20509090909091
,,256,,18.22836363636364
,,512,,18.27490909090909
,,1024,,18.368000000000002
,,128,,18.20509090909091
,,256,,18.22836363636364
,,512,,18.27490909090909
,,1024,,18.368000000000002
decrypt-des-1024,Intel-Xeon-w-1350P,128,,100.32000000000001
,,256,,100.64
,,512,,101.28
,,1024,,102.56
,Intel-i7-11850HE,128,,85.37872340425531
,,256,,85.65106382978722
,,512,,86.19574468085106
,,1024,,87.28510638297873
,,128,,85.37872340425531
,,256,,85.65106382978722
,,512,,86.19574468085106
,,1024,,87.28510638297873
,Intel-i7-7600U,128,,102.8923076923077
,,256,,103.22051282051282
,,512,,103.87692307692309
,,1024,,105.1897435897436
,,128,,102.8923076923077
,,256,,103.22051282051282
,,512,,103.87692307692309
,,1024,,105.1897435897436
,Intel-Xeon-w-1390P,128,,77.16923076923077
,,256,,77.41538461538461
,,512,,77.9076923076923
,,1024,,78.8923076923077
,Intel-i7-1360P,128,,80.256
,,256,,80.512
,,512,,81.024
,,1024,,82.04800000000002
,,128,,80.256
,,256,,80.512
,,512,,81.024
,,1024,,82.04800000000002
,Intel-i7-1185G7E,128,,91.19999999999999
,,256,,91.49090909090908
,,512,,92.07272727272726
,,1024,,93.23636363636365
,,128,,91.19999999999999
,,256,,91.49090909090908
,,512,,92.07272727272726
,,1024,,93.23636363636365
,Intel-i7-7700,128,,95.54285714285714
,,256,,95.84761904761903
,,512,,96.45714285714287
,,1024,,97.67619047619047
,,128,,95.54285714285714
,,256,,95.84761904761903
,,512,,96.45714285714287
,,1024,,97.67619047619047
,Intel-i7-6700,128,,100.32000000000001
,,256,,100.64
,,512,,101.28
,,1024,,102.56
,,128,,100.32000000000001
,,256,,100.64
,,512,,101.28
,,1024,,102.56
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,111.46666666666665
,,256,,111.82222222222222
,,512,,112.53333333333333
,,1024,,113.95555555555555
,Intel-i7-14650HX,128,,77.16923076923077
,,256,,77.41538461538461
,,512,,77.9076923076923
,,1024,,78.8923076923077
,,128,,77.16923076923077
,,256,,77.41538461538461
,,512,,77.9076923076923
,,1024,,78.8923076923077
,Intel-i3-4130,128,,118.02352941176471
,,256,,118.4
,,512,,119.15294117647059
,,1024,,120.65882352941178
,Intel-i7-14700HX,128,,72.96000000000001
,,256,,73.19272727272727
,,512,,73.65818181818183
,,1024,,74.58909090909091
,,128,,72.96000000000001
,,256,,73.19272727272727
,,512,,73.65818181818183
,,1024,,74.58909090909091
decrypt-des-256,Intel-Xeon-w-1350P,128,,100.32000000000001
,,256,,100.64
,,512,,101.28
,,1024,,102.56
,Intel-i7-11850HE,128,,85.37872340425531
,,256,,85.65106382978722
,,512,,86.19574468085106
,,1024,,87.28510638297873
,,128,,85.37872340425531
,,256,,85.65106382978722
,,512,,86.19574468085106
,,1024,,87.28510638297873
,Intel-i7-7600U,128,,102.8923076923077
,,256,,103.22051282051282
,,512,,103.87692307692309
,,1024,,105.1897435897436
,,128,,102.8923076923077
,,256,,103.22051282051282
,,512,,103.87692307692309
,,1024,,105.1897435897436
,Intel-Xeon-w-1390P,128,,77.16923076923077
,,256,,77.41538461538461
,,512,,77.9076923076923
,,1024,,78.8923076923077
,Intel-i7-1360P,128,,80.256
,,256,,80.512
,,512,,81.024
,,1024,,82.04800000000002
,,128,,80.256
,,256,,80.512
,,512,,81.024
,,1024,,82.04800000000002
,Intel-i7-1185G7E,128,,91.19999999999999
,,256,,91.49090909090908
,,512,,92.07272727272726
,,1024,,93.23636363636365
,,128,,91.19999999999999
,,256,,91.49090909090908
,,512,,92.07272727272726
,,1024,,93.23636363636365
,Intel-i7-7700,128,,95.54285714285714
,,256,,95.84761904761903
,,512,,96.45714285714287
,,1024,,97.67619047619047
,,128,,95.54285714285714
,,256,,95.84761904761903
,,512,,96.45714285714287
,,1024,,97.67619047619047
,Intel-i7-6700,128,,100.32000000000001
,,256,,100.64
,,512,,101.28
,,1024,,102.56
,,128,,100.32000000000001
,,256,,100.64
,,512,,101.28
,,1024,,102.56
,ARM-_Denver_2,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,ARM-_ARM_Cortex,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,,128,,inf
,,256,,inf
,,512,,inf
,,1024,,inf
,Intel-Xeon-w-1370P,128,,111.46666666666665
,,256,,111.82222222222222
,,512,,112.53333333333333
,,1024,,113.95555555555555
,Intel-i7-14650HX,128,,77.16923076923077
,,256,,77.41538461538461
,,512,,77.9076923076923
,,1024,,78.8923076923077
,,128,,77.16923076923077
,,256,,77.41538461538461
,,512,,77.9076923076923
,,1024,,78.8923076923077
,Intel-i3-4130,128,,118.02352941176471
,,256,,118.4
,,512,,119.15294117647059
,,1024,,120.65882352941178
,Intel-i7-14700HX,128,,72.96000000000001
,,256,,73.19272727272727
,,512,,73.65818181818183
,,1024,,74.58909090909091
,,128,,72.96000000000001
,,256,,73.19272727272727
,,512,,73.65818181818183
,,1024,,74.58909090909091
decrypt-des-512,Intel-Xeon-w-1350P,128,,100.32000000000001
,,256,,100.64
,,512,,101.28
,,1024,,102.56
,Intel-i7-11850HE,128,,85.37872340425531
,,256,,85.65106382978722
,,512,,86.19574468085106
,,1024,,87.28510638297873
,,128,,85.37872340425531
,,256,,85.65106382978722
,,512,,86.19574468085106
,,1024,,87.28510638297873
,Intel-i7-7600U,128,,102.8923076923077
,,256,,103.22051282051282
,,512,,103.87692307692309
,,1024,,105.1897435897436
,,128,,102.8923076923077
,,256,,103.22051282051282
,,512,,103.87692307692309
,,1024,,105.1897435897436
,Intel-Xeon-w-1390P,128,,77.16923076923077
,,256,,77.41538461538461
,,512,,77.9076923076923
,,1024,,78.8923076923077
,Intel-i7-1360P,128,,80.256
,,256,,80.512
,,512,,81.024
,,1024,,82.04800000000002
,,128,,80.256
,,256,,80.512
,,512,,81.024
,,1024,,82.04800000000002
,Intel-i7-1185G7E,128,,91.19999999999999
,,256,,91.49090909090908
,,512,,92.07272727272726
