CPU Entries,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
### model,operation,pcktlen (bytes),exec time (usec),
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CBC,256,1.73927470183261,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CBC,384,2.45605418725147,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CBC,512,3.17283367267033,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CBC,768,4.60639264350806,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CBC,1000,5.90555546082974,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CBC,1500,8.70547532574717,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CTR,64,0.840427125377894,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CTR,128,1.22155737674423,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CTR,196,1.62650826882096,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CTR,256,1.9838178794769,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CTR,384,2.74607838220957,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CTR,512,3.50833888494224,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CTR,768,5.03285989040758,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CTR,1000,6.41445705161055,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-CTR,1500,9.39203714041005,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-ECB,64,0.576731034627617,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-ECB,128,0.912987271880569,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-ECB,196,1.27025952396183,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-ECB,256,1.58549974638647,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-ECB,384,2.25801222089237,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-ECB,512,2.93052469539828,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-ECB,768,4.27554964441008,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-ECB,1000,5.49447850445203,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-ECB,1500,8.12148035799072,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-GCM,64,2.9337240917882,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-GCM,128,2.96181141388886,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-GCM,196,2.99165419362081,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-GCM,256,3.01798605809018,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-GCM,384,3.0741607022915,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-GCM,512,3.13033534649282,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-GCM,768,3.24268463489546,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-GCM,1000,3.34450117751036,
AMD EPYC 7763 64-Core Processor,encrypt-AES-256-GCM,1500,3.56393338142177,
AMD EPYC 7763 64-Core Processor,packet-generation,64,0.561325798366305,
AMD EPYC 7763 64-Core Processor,packet-generation,128,0.64388794490246,
AMD EPYC 7763 64-Core Processor,packet-generation,196,0.731610225597124,
AMD EPYC 7763 64-Core Processor,packet-generation,256,0.80901223797477,
AMD EPYC 7763 64-Core Processor,packet-generation,384,0.97413653104708,
AMD EPYC 7763 64-Core Processor,packet-generation,512,1.13926082411939,
AMD EPYC 7763 64-Core Processor,packet-generation,768,1.46950941026401,
AMD EPYC 7763 64-Core Processor,packet-generation,1000,1.76879719145757,
AMD EPYC 7763 64-Core Processor,packet-generation,1500,2.41381396127128,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,64,0.959482417355164,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,128,1.56764360062629,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,196,2.21381485785187,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,256,2.78396596716855,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,384,4.00028833371081,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,512,5.21661070025307,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,768,7.6492554333376,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,1000,9.85383972269544,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CBC,1500,14.6050989670011,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CTR,64,0.891329801376672,
Intel(R) Core(TM) i7-8650U CPU,decrypt-AES-128-CTR,128,1.58695221026302,
